              Item      Mean        SD  LeaveOneOut
1      AKTIVNEA01J 2.0760768 1.0778299  0.448672654
2     AKTIVNEA01JB 1.6784038 1.0806941  0.518737070
3      AKTIVNEA01x 1.4589595 1.0364184  0.415947007
4      AKTIVNEA02J 2.3154710 1.0240739  0.658406141
5      AKTIVNEA03J 2.8442623 0.8729151  0.513978749
6      AKTIVNEA04J 1.9677419 1.0760977  0.458976470
7      AKTIVNEA05J 2.4316940 1.0439550  0.547611374
8      AKTIVNEA06J 2.0207702 1.0032422  0.562859422
9      AKTIVNEA07J 2.4917247 0.9790491  0.664706328
10     AKTIVNEA07m 2.3450078 1.0000771  0.703633191
11     AKTIVNEA07x 1.6506597 1.0664645  0.496883856
12    AKTIVNEA07xB 1.5373494 1.0008092  0.566345293
13     AKTIVNEA08J 2.3334768 1.0020546  0.719387940
14     AKTIVNEA09x 1.6476334 1.0416866  0.518686959
15    AKTIVNEA09xB 1.9155767 1.0041615  0.498965708
16       AKTIVNEA1 2.1414497 1.0279779  0.584483079
17      AKTIVNEA10 1.8219406 1.0501161  0.547942797
18     AKTIVNEA10e 1.7165618 1.1250758  0.446972602
19     AKTIVNEA10J 2.2048518 1.1905385  0.482642653
20      AKTIVNEA11 2.1645475 1.0243296  0.496579964
21     AKTIVNEA11e 1.6510067 1.0326042  0.452800735
22     AKTIVNEA11f 2.5388693 1.0780553  0.517689430
23     AKTIVNEA11J 2.5697022 1.0757158  0.537587426
24     AKTIVNEA11m 2.2952530 1.1086316  0.612884242
25      AKTIVNEA12 1.9514121 1.0561723  0.427604780
26     AKTIVNEA12e 2.3009050 1.0356236  0.486205477
27     AKTIVNEA12f 1.8614916 1.0464776  0.517557416
28     AKTIVNEA12J 1.1234568 0.8728966  0.388329658
29     AKTIVNEA12m 1.6596750 1.1209305  0.532166682
30     AKTIVNEA13e 2.7339450 0.8829647  0.545795791
31     AKTIVNEA13f 2.0314136 0.9854133  0.449161686
32     AKTIVNEA13J 1.4386921 0.9149197  0.322652918
33     AKTIVNEA13m 1.5783911 1.0741345  0.460859354
34     AKTIVNEA14e 2.2388393 1.0442601  0.663525355
35     AKTIVNEA14f 2.0978648 1.0129442  0.716651617
36     AKTIVNEA14J 1.2722892 1.0170424  0.379169031
37     AKTIVNEA15e 2.1418764 1.0996284  0.601140706
38     AKTIVNEA15f 1.9290780 1.0737983  0.640466677
39     AKTIVNEA15J 1.3024390 0.9543333  0.373421031
40     AKTIVNEA15m 1.3608355 0.9899344  0.307303952
41     AKTIVNEA15x 2.2054986 1.0140875  0.372436665
42     AKTIVNEA16e 2.2159091 1.0762381  0.734545217
43     AKTIVNEA16f 2.2124431 1.0875490  0.643619291
44     AKTIVNEA16J 2.1075269 1.1323459  0.567141285
45     AKTIVNEA16m 1.8708282 0.9701960  0.377535985
46     AKTIVNEA17e 2.2642369 1.0613041  0.593991150
47     AKTIVNEA17f 1.5936953 1.1468778  0.463840900
48     AKTIVNEA17J 2.3832458 0.9812780  0.395616958
49     AKTIVNEA17x 1.8061889 1.0953554  0.480797794
50     AKTIVNEA18e 1.5485327 1.0086801  0.363876548
51     AKTIVNEA18f 1.3745520 0.9270701  0.430571215
52     AKTIVNEA18J 2.1370622 1.0796689  0.627172825
53     AKTIVNEA18x 1.7348399 1.0789008  0.391230208
54      AKTIVNEA1c 2.2096774 1.0658670  0.504070413
55      AKTIVNEA1e 2.3348315 1.0431135  0.586444501
56      AKTIVNEA1f 2.5557522 0.9652599  0.575944592
57       AKTIVNEA2 2.0240421 0.9707104  0.570740573
58      AKTIVNEA2e 1.3977528 1.0425603  0.443667187
59      AKTIVNEA2f 1.2985866 0.9726698  0.352487841
60       AKTIVNEA3 2.3109890 0.9955844  0.533816424
61      AKTIVNEA3e 1.7663185 1.0901646  0.665468451
62       AKTIVNEA4 1.7200848 0.9653635  0.458542435
63      AKTIVNEA4e 2.1594533 1.0586006  0.711831677
64      AKTIVNEA4f 2.1628722 1.0693931  0.718019678
65       AKTIVNEA5 1.7122571 1.0994726  0.654550478
66      AKTIVNEA5e 1.7746806 0.9837565  0.452328344
67       AKTIVNEA6 2.4204545 0.9828631 -0.001159215
68      AKTIVNEA6e 1.9623086 1.0820109  0.706189810
69      AKTIVNEA6f 1.9023091 1.0684966  0.664245793
70       AKTIVNEA7 2.2116557 1.0072802  0.504016298
71      AKTIVNEA7c 2.3034483 1.0249703  0.553973021
72      AKTIVNEA7e 2.3288288 0.9988605  0.633236304
73      AKTIVNEA7f 2.1232666 1.0600334  0.645618285
74       AKTIVNEA8 1.8583196 1.0730847  0.538133913
75      AKTIVNEA8e 1.1207289 1.0029652  0.509374177
76      AKTIVNEA8f 1.3432836 0.9575199  0.384618796
77       AKTIVNEA9 2.4146341 0.9178543  0.499093305
78      AKTIVNEA9e 1.6765464 1.1426134  0.574239523
79      AKTIVNEAb1 1.7910448 1.0986858  0.396353795
80      AKTIVNEAb2 1.3544776 0.9145610  0.326438139
81      AKTIVNEAb3 1.4402985 1.0056857  0.404106950
82      AKTIVNEAb4 1.5639098 1.0414314  0.403670053
83      AKTIVNEAb5 2.4106464 1.0107253  0.545281167
84      AKTIVNEAb6 1.8351648 0.9066389 -0.012924371
85      AKTIVNEAb7 1.7751587 0.9967017  0.361686232
86      AKTIVNEAc1 1.6636156 1.1409310  0.468061047
87      AKTIVNEAc3 1.7373272 1.0012178  0.453816269
